country,isocode,year,POP,XRAT,Currency_Unit,ppp,cgdp,cc,cg,ci,p,pc,pg,pi,openc,cgnp,y,yEKS,yCPDW,rgdpl,rgdpl2,rgdpch,rgdpeqa,rgdpwok,rgdpl2wok,rgdpl2pe,rgdpl2te,rgdpl2th,rgdptt,openk,kc,kg,ki,grgdpch,grgdpl2
Guinea-Bissau,GNB,1966,598.111,0.442307711,CFA Franc BCEAO,0.3092606571,150.83962431,94.155868296,12.330702596,13.238795891,69.919797792,59.909890897,107.61383654,106.00295051,33.227516194,,3.7917884048,3.5957822145,3.6679124924,399.16734554,463.96247644,408.44338434,499.53947061,998.93340936,1134.7169184,,,,694.99348754,146.19113518,162.74685349,23.877698124,25.032185528,-17.05296037,-16.51781847
Guinea-Bissau,GNB,1967,601.287,0.442307711,CFA Franc BCEAO,0.2816146623,173.87145458,94.283582255,13.126830603,13.270575848,63.669399222,54.458395473,96.108976958,97.022706037,32.53261815,,4.1943801357,3.9807771954,4.0695021836,439.91037934,510.84089686,449.92975419,551.10344222,1103.8411282,1253.2782877,,,,775.30280492,146.76254905,165.25548993,25.214178911,25.554382282,10.157189817,10.10392495
Guinea-Bissau,GNB,1968,611.16,0.442307711,CFA Franc BCEAO,0.2795075658,183.36252199,95.072550789,13.928307018,12.453270788,63.193012216,54.309742482,93.198126461,97.451856894,32.298355753,,4.0934482791,3.8780755479,3.9695566708,443.03490658,514.38853014,453.53647206,556.3550938,1116.1832836,1265.9442271,,,,788.73575956,147.95083838,168.61429693,26.558421806,24.50758802,0.8016179955,0.6944693149
Guinea-Bissau,GNB,1969,615.749,0.442307711,CFA Franc BCEAO,0.2714478852,217.38830341,98.913448288,13.369187116,12.901278493,61.370823616,53.179767767,90.233503118,94.261751167,36.316855485,,4.5223678299,4.2748830491,4.3889983501,439.25438563,528.12070761,452.26979821,555.63533823,1116.5716699,1303.8337354,,,,890.80013699,192.19520408,201.12108879,28.929258088,28.915421415,-0.279288201,2.6696119119
Guinea-Bissau,GNB,1970,620.02,0.4423076928,CFA Franc BCEAO,0.3128496408,222.87000435,87.108348634,16.506782518,22.573481122,70.731223073,62.260366787,85.440350904,92.663238155,34.188613014,100,4.4585307446,4.4362155884,4.4754920646,336.48167599,402.72147887,339.70322396,417.97022239,841.31516037,997.38731244,,,,880.22547455,270.58287734,228.14889463,43.398725882,63.713309529,-24.88925298,-23.74442565
Guinea-Bissau,GNB,1971,623.282,0.4363103121,CFA Franc BCEAO,0.3002217984,226.00539482,92.988923106,17.585194188,19.579761192,68.809237383,59.566040592,84.737668557,98.401547252,38.469933819,100,4.2148636097,4.1365079517,4.1810781002,326.14286987,395.03178033,331.85421152,409.39150974,823.61653903,980.41458094,,,,848.47058212,279.85686864,244.33013743,45.581159608,55.057167008,-2.310549884,-1.909433429
Guinea-Bissau,GNB,1972,625.361,0.4162064103,CFA Franc BCEAO,0.2928309559,257.88181669,98.058593191,18.118222649,15.097604285,70.357147,61.519117695,88.465561433,106.02853073,39.985651129,100,4.4171994284,4.2657664787,4.3403216838,365.40341232,446.33662888,374.6595633,463.4225645,931.82675232,1110.0968775,,,,926.35490433,273.56103967,252.30005669,45.28441659,42.143723356,12.898842411,12.987524324
Guinea-Bissau,GNB,1973,633.266,0.3771564103,CFA Franc BCEAO,0.3124870516,266.4685487,103.00938793,19.289863942,12.36740152,82.853437747,71.834599671,105.08936487,139.94835424,46.786274239,100,4.1222867343,3.9034271333,3.9975434737,388.56109201,471.29609813,400.35179021,496.51689534,997.84413556,1174.6670282,,,,902.38463206,263.32465083,244.39641893,43.770277718,31.961249278,6.8574859492,5.5920728055
Guinea-Bissau,GNB,1974,640.043,0.3908948718,CFA Franc BCEAO,0.3091048303,303.55474008,105.21030708,19.570232857,9.4494023992,79.076205028,69.281864686,101.96825322,140.71638254,44.266830622,100,4.3670632594,4.039922117,4.2212871651,482.05645233,569.85989548,496.94459469,617.95264215,1241.2333958,1423.3561261,,,,930.85393294,195.85035899,208.68752571,36.845112353,19.900955702,24.126982032,20.9133489
Guinea-Bissau,GNB,1975,680.919,0.3929730769,CFA Franc BCEAO,0.3134259789,325.33528686,93.863247459,18.138664444,8.7598631268,79.757621411,70.077397791,100.66451511,140.19168162,31.131587009,102.24908567,4.3265786846,4.0415389585,4.211185583,617.26862544,692.78990269,630.52117008,786.1491351,1578.2350074,1734.0976467,,,,921.85967254,117.90715065,143.04896768,25.942237408,13.900588695,26.879571045,21.571970267
